CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,MERMAID_BA,MERMAID_GF,MermaidBaID,MermaidGfID,CoralFocus3Label
118,Unclear,Unc,Other,43,63347,Unknown,NA,b72e02c1-eab3-4781-9eb4-d191bb84e5c7,NA,Remove
4145,Unidentified,UNIden,Other,8,37633,Unknown,NA,b72e02c1-eab3-4781-9eb4-d191bb84e5c7,NA,Remove
1647,Unknown,Unk,Other,228,23705,Unknown,NA,b72e02c1-eab3-4781-9eb4-d191bb84e5c7,NA,Remove
643,Algae (foliose),AL_fol,Algae,6,1753,Macroalgae,Foliose,09226989-50e7-4c40-bd36-5bcef32ee7a1,e149db12-9398-4a10-8642-5db70d1a8505,Macroalgae
3461,Oulophyllia,Ouloph,Hard coral,45,43,Oulophyllia,NA,190d2f0d-67be-48a3-8ea0-33e66546f3f7,NA,Merulinidae
170,Pocilloporidae,POCIL,Hard coral,10,4379,Pocilloporidae,NA,6580c490-3a3c-4969-b91f-18d7edd82074,NA,Remove
1363,Isophyllia sinuosa,IsophSin,Hard coral,24,18,Isophyllia sinuosa,NA,70635707-407e-4348-b685-3e44f121875f,NA,Mussidae
2451,Pseudopterogorgia,Pseudopter,Other Invertebrates,24,10102,Pseudopterogorgia,NA,7f309e4e-54a7-4086-83a0-b61ce0d9476c,NA,Soft coral
3232,Cycloseris,Cyclo,Hard coral,44,44,Cycloseris,NA,bc8952f9-39d8-47f5-87a1-7c2fb324e665,NA,Fungiidae
3464,Coeloseris,Coeloseris,Hard coral,20,7,Coeloseris,NA,d491765d-5c50-4dcd-9493-2edfa46f0656,NA,Agariciidae
1359,Agaricia grahamae,AgGra,Hard coral,19,9,Agaricia grahamae,NA,53cf4a1c-1b45-48b6-a6c0-7a4752ad24b9,NA,Agaricia
1614,Plesiastrea,Plesiastr,Hard coral,21,103,Plesiastrea,NA,5ab3e132-8c64-4e65-8a5e-25d92f284331,NA,Hard coral
2616,Astrea,Astrea,Hard coral,47,3530,Astrea,NA,63f29fbf-76db-4a6b-9559-dfb7277ba6b5,NA,Merulinidae
1358,Agaricia fragilis,AgFra,Hard coral,10,6,Agaricia fragilis,NA,aeef595c-8a38-4e57-9a32-45676e09edec,NA,Agaricia
2108,Halophila stipulacea,HalophStip,Seagrass,23,176145,Halophila stipulacea,NA,fcf0ddd7-2b6b-4863-b1c8-9bb0ec8277c5,NA,Seagrass
87,Blastomussa,Blast,Hard coral,12,17,Blastomussa,NA,123d5e37-3561-4873-89fd-fd1a5ccbd3c5,NA,Hard coral
2659,Orbicella,Orbicella,Hard coral,20,13,Orbicella,NA,1583ffd5-f3a1-4346-ab3c-ada28292b22d,NA,Orbicella
1367,Mycetophyllia ferox,MycetFer,Hard coral,21,6,Mycetophyllia ferox,NA,17131731-e6c8-431e-9a55-8cc438ec5a23,NA,Mussidae
1964,Scapophyllia,Scapophyll,Hard coral,27,37,Scapophyllia,NA,17bbf449-3823-4806-9e7c-9cd47f1288e6,NA,Merulinidae
3482,Halodule wrightii,HalodWri,Seagrass,13,2762,Halodule wrightii,NA,f6f6d632-4bdf-4755-97a6-b2cb3d2d69f8,NA,Seagrass
